,역명,노선명,sub노선명,순번,lat,lng,이용자변화율
0,역곡,1호선,1호선,146,37.485178,126.811502,-0.2861709737302123
1,신이문,1호선,1호선,121,37.601854,127.067325,-0.24867124031403898
2,노량진,1호선,1호선,136,37.514219,126.942454,-0.3144809812232925
3,송내,1호선,1호선,150,37.4876,126.753664,-0.3069108566247968
4,망월사,1호선,1호선,112,37.709914,127.047455,-0.33524737448901765
5,구로,1호선,1호선,141,37.503039,126.881966,-0.26640820730679904
6,신길,1호선,1호선,138,37.517122,126.917169,-0.19813374820731655
7,오류동,1호선,1호선,144,37.494526,126.845365,-0.2207469978782155
8,도화,1호선,1호선,157,37.46607,126.668672,-0.23696194056109288
9,녹천,1호선,1호선,117,37.644799,127.051269,-0.24372755988000194
10,용산,1호선,1호선,135,37.529849,126.964561,-0.35582950083197395
11,덕정,1호선,1호선,105,37.843188,127.061277,-0.3251041641731568
12,동두천중앙,1호선,1호선,103,37.901885,127.056482,-0.31707269927925985
13,종로3가,1호선,1호선,130,37.571607,126.991806,-0.3702077446113671
14,청량리(서울시립대입구),1호선,1호선,124,37.580178,127.046835,-0.30873663723207145
15,광운대,1호선,1호선,119,37.623632,127.061835,-0.3007307666340202
16,동대문,1호선,1호선,128,37.57142,127.009745,-0.3471682452334497
17,백운,1호선,1호선,153,37.483664,126.707704,-0.3371214025791375
18,월계,1호선,1호선,118,37.633212,127.058831,-0.23728663832360852
19,덕계,1호선,1호선,106,37.818486,127.056486,-0.030237176812911493
20,시청,1호선,1호선,132,37.564718,126.977108,-0.3479647793136319
21,신설동,1호선,1호선,126,37.575297,127.025087,-0.28176501265873555
22,지행,1호선,1호선,104,37.892334,127.055716,-0.2986601713089707
23,영등포,1호선,1호선,139,37.515504,126.907628,-0.3466430929155008
24,부개,1호선,1호선,151,37.488418,126.74109,-0.2840682296273078
25,중동,1호선,1호선,149,37.486562,126.764843,-0.25718472842002227
26,종각,1호선,1호선,131,37.570161,126.982923,-0.3786771875182332
27,보산,1호선,1호선,102,37.913702,127.057277,-0.28429274473953803
28,간석,1호선,1호선,155,37.464737,126.694181,-0.28193791382842914
29,구일,1호선,1호선,142,37.496756,126.870793,-0.362822170945609
30,창동,1호선,1호선,116,37.653166,127.047731,-0.2621674308930526
31,소사,1호선,1호선,147,37.482753,126.79544,-0.32738800803647927
32,회기,1호선,1호선,123,37.58946,127.057583,-0.3405541525029957
33,부천,1호선,1호선,148,37.48405,126.782686,-0.30675095913427386
34,남영,1호선,1호선,134,37.541021,126.9713,-0.30301929738257294
35,의정부,1호선,1호선,110,37.738415,127.045958,-0.29569169691354336
