,노선,역명,X,Y
0,1호선,청량리,829.7554543,615.1310044
1,1호선,제기동,800.3062872,615.9563319
2,1호선,동묘앞,728.4382303,615.6666667
3,1호선,동대문,668.796274,615.8157895
4,1호선,종로5가,633.7294616,615.8157895
5,1호선,종로3가,581.3154424,616.5789474
6,1호선,종각,544.6374574,598.1842105
7,1호선,서울역,518.4074467,514.9473684
8,2호선,건대입구,852.213892,453.234375
9,2호선,성수,851.8566703,476.7239583
10,2호선,뚝섬,828.030837,501.2981771
11,2호선,한양대,806.7089305,522.6236979
12,2호선,왕십리,786.7726866,542.7606838
13,2호선,상왕십리,751.0203668,560.9487179
14,2호선,신당,728.4255569,559.2136752
15,2호선,동대문역사문화공원(DDP),669.4681781,562.3418803
16,2호선,을지로4가,620.7288334,561.6581197
17,2호선,을지로3가,581.4397639,561.5213675
18,2호선,을지로입구,552.2217299,552.2217299
19,2호선,시청,518.9456355,561.5213675
20,2호선,충정로,438.5051244,588.7751606
21,2호선,아현,417.3675214,588.3376068
22,2호선,이대,392.0683761,589.025641
23,2호선,신촌,366.7692308,588.3376068
24,2호선,홍대입구,335.0958888,589.5702128
25,2호선,합정,301.5470919,553.9446809
26,2호선,당산,287.211339,509.5479744
27,2호선,영등포구청,285.8429067,450.0021322
28,2호선,문래,286.5271229,428.1002132
29,2호선,신도림,287.8955551,401.4072495
30,2호선,대림,324.1590101,346.652452
31,2호선,구로 디지털단지,348.0852994,312.5665236
32,2호선,신대방,391.7658332,291.8626609
33,2호선,신림,422.802002,291.8626609
34,2호선,봉천,451.5391954,291.8626609
35,2호선,서울대입구,491.7712661,291.8626609
36,2호선,낙성대,534.1835605,291.1373391
37,2호선,사당,566.369217,292.2875536
38,2호선,방배,594.7352264,291.6051502
39,2호선,서초,619.9882918,291.6051502
40,2호선,교대,645.2413572,291.6051502
41,2호선,강남,679.1751638,291.6051502
42,2호선,역삼,706.0065458,291.6051502
43,2호선,선릉,736.7837192,292.3948498
44,2호선,삼성,764.7777268,292.3476395
45,2호선,종합운동장,796.7052643,291.2918455
46,2호선,신천,824.3258046,314.193133
47,2호선,잠실,851.9463448,338.6738197
48,2호선,잠실나루,851.5207156,385.7758621
49,2호선,강변,852.4098243,417.8189655
50,2호선,구의,852.4098243,434.7306034
51,2호선,용답,851.0850632,513.6185345
52,2호선,신답,829.0344314,556.4107527
53,2호선,용두,801.1048375,583.3526882
54,2호선,신설동,768.187816,616.2817204
55,2호선,도림천,235.1902159,439.7538126
56,2호선,양천구청,197.2877835,440.4590414
57,2호선,신정네거리,178.4107133,464.2244009
58,2호선,까치산,163.0972215,484.9760349
59,3호선,대화,105.2709013,761.6933333
60,3호선,주엽,128.7519708,760.5466667
61,3호선,정발산,156.2420034,760.5466667
62,3호선,마두,182.0139089,760.5466667
63,3호선,백석,205.6174458,761.2806236
64,3호선,대곡,228.563139,761.6859688
65,3호선,화정,250.4429431,760.6436526
66,3호선,원당,275.2910994,761.3184855
67,3호선,삼송,298.8779116,760.6057906
68,3호선,지축,323.1794756,760.6057906
69,3호선,구파발,348.2923094,749.2908277
70,3호선,연신내,359.020831,737.836689
71,3호선,불광,402.6235784,693.212528
72,3호선,녹번,436.689562,693.3020134
73,3호선,홍제,468.1598919,694.0178971
74,3호선,무악재,504.6368652,693.3020134
75,3호선,독립문,539.9078933,693.6286353
76,3호선,경복궁,568.5172841,680.0268456
77,3호선,안국,582.1067447,649.9597315
78,3호선,충무로,622.8020493,514.5749441
79,3호선,동대입구,649.2354117,485.3202247
80,3호선,약수,674.8546796,458.3355705
81,3호선,금호,674.5121915,437.8721973
82,3호선,옥수,673.8963787,415.6748879
83,3호선,압구정,674.5121915,387.3116592
84,3호선,신사,646.1848062,386.6950673
85,3호선,잠원,646.1848062,370.0470852
86,3호선,고속터미널,646.8918459,347.4650113
87,3호선,남부터미널,654.5057043,263.1088435
88,3호선,양재,677.6041157,247.4965986
89,3호선,매봉,707.7171341,248.2176871
90,3호선,도곡,734.8577674,247.6394558
91,3호선,대치,757.9561788,247.6394558
92,3호선,학여울,783.9853929,247.3809524
93,3호선,대청,812.2809468,247.9591837
94,3호선,일원,835.9568185,229.4557823
95,3호선,수서,835.9568185,199.9659864
96,3호선,가락시장,870.6044355,278.6054422
97,3호선,경찰병원,917.9561788,279.1836735
98,3호선,오금,947.9841136,279.1836735
99,4호선,당고개,889.6905455,754.3047619
100,4호선,상계,859.0535073,754.9002268
101,4호선,노원,819.0551519,754.9002268
102,4호선,창동,743.3135853,754.047619
103,4호선,쌍문,727.1440374,740.4058957
104,4호선,수유,712.7160561,728.7732426
105,4호선,미아,699.0995946,717.6893424
106,4호선,미아사거리,685.50371,706.6371882
107,4호선,길음,668.4831332,692.9954649
108,4호선,성신여대입구,668.4831332,675.9433107
109,4호선,한성대입구,669.3341621,657.185941
110,4호선,혜화,668.4831332,637.5759637
111,4호선,명동,590.2057677,513.4807256
112,4호선,회현,560.4197583,513.4807256
113,4호선,숙대입구,518.2880748,489.4263039
114,4호선,삼각지,501.267498,458.7324263
115,4호선,신용산,501.267498,437.4172336
116,4호선,이촌,502.1185268,413.5442177
117,4호선,동작,531.0535073,385.4081633
118,4호선,이수(총신대입구),566.5525647,347.8639456
119,4호선,남태령,566.0488901,271.2857143
120,4호선,선바위,566.0488901,251.9659864
121,4호선,경마공원,551.583817,237.4761905
122,4호선,대공원,514.9389651,236.5102041
123,4호선,과천,479.2584514,236.5102041
124,4호선,정부과천청사,441.7338133,235.9659864
125,4호선,인덕원,408.9463142,236.9319728
126,4호선,평촌,380.016168,235.9659864
127,4호선,범계,360.7294038,218.2176871
128,4호선,금정,353.0146982,184.4081633
