,역명,노선명,sub노선명,순번,lat,lng,이용자수차이,일간이용자수차이
0,소요산,1호선,1호선,100,37.9481,127.061034,-1739870.0,-2806.0
1,동두천,1호선,1호선,101,37.927878,127.05479,-942065.0,-1519.0
2,보산,1호선,1호선,102,37.913702,127.057277,-649745.0,-1047.0
3,동두천중앙,1호선,1호선,103,37.901885,127.056482,-1464693.0,-2362.0
4,지행,1호선,1호선,104,37.892334,127.055716,-2745862.0,-4428.0
5,덕정,1호선,1호선,105,37.843188,127.061277,-2721122.0,-4388.0
6,덕계,1호선,1호선,106,37.818486,127.056486,-66368.0,-107.0
7,양주,1호선,1호선,107,37.774381,127.044708,-3270023.0,-5274.0
8,녹양,1호선,1호선,108,37.75938,127.042292,-1494609.0,-2410.0
9,가능,1호선,1호선,109,37.748577,127.044213,-2201086.0,-3550.0
10,의정부,1호선,1호선,110,37.738415,127.045958,-8322218.0,-13422.0
11,회룡,1호선,1호선,111,37.724846,127.046895,-3600293.0,-5806.0
12,망월사,1호선,1호선,112,37.709914,127.047455,-3712710.0,-5988.0
13,도봉산,1호선,1호선,113,37.689313,127.046222,-4224830.0,-6814.0
14,도봉,1호선,1호선,114,37.679563,127.045595,-1711071.0,-2759.0
15,방학,1호선,1호선,115,37.667503,127.044273,-2801605.0,-4518.0
16,창동,1호선,1호선,116,37.653166,127.047731,-9770636.0,-15759.0
17,녹천,1호선,1호선,117,37.644799,127.051269,-1355410.0,-2186.0
18,월계,1호선,1호선,118,37.633212,127.058831,-1824722.0,-2943.0
19,광운대,1호선,1호선,119,37.623632,127.061835,-3487219.0,-5624.0
20,석계,1호선,1호선,120,37.614805,127.065851,-7992099.0,-12890.0
21,신이문,1호선,1호선,121,37.601854,127.067325,-2633818.0,-4248.0
22,외대앞,1호선,1호선,122,37.596073,127.063549,-5792482.0,-9342.0
23,회기,1호선,1호선,123,37.58946,127.057583,-12270756.0,-19791.0
24,청량리(서울시립대입구),1호선,1호선,124,37.580178,127.046835,-17241838.0,-27809.0
25,제기동,1호선,1호선,125,37.578103,127.034893,-7550207.0,-12177.0
26,신설동,1호선,1호선,126,37.575297,127.025087,-7609530.0,-12273.0
27,동묘앞,1호선,1호선,127,37.572627,127.016429,-7169857.0,-11564.0
28,동대문,1호선,1호선,128,37.57142,127.009745,-17874537.0,-28829.0
29,종로5가,1호선,1호선,129,37.570926,127.001849,-10661365.0,-17195.0
30,종로3가,1호선,1호선,130,37.571607,126.991806,-28359150.0,-45740.0
31,종각,1호선,1호선,131,37.570161,126.982923,-19859394.0,-32031.0
32,시청,1호선,1호선,132,37.564718,126.977108,-21519048.0,-34708.0
33,서울역,1호선,1호선,133,37.554648,126.972559,-48053399.0,-77505.0
34,남영,1호선,1호선,134,37.541021,126.9713,-4273531.0,-6892.0
35,용산,1호선,1호선,135,37.529849,126.964561,-19109717.0,-30822.0
36,노량진,1호선,1호선,136,37.514219,126.942454,-16360036.0,-26387.0
37,대방,1호선,1호선,137,37.513342,126.926382,-5345819.0,-8622.0
38,신길,1호선,1호선,138,37.517122,126.917169,-3068019.0,-4948.0
39,영등포,1호선,1호선,139,37.515504,126.907628,-22172054.0,-35761.0
40,신도림,1호선,1호선,140,37.508725,126.891295,-24468280.0,-39464.0
41,구로,1호선,1호선,141,37.503039,126.881966,-6973408.0,-11247.0
42,구일,1호선,1호선,142,37.496756,126.870793,-3792962.0,-6117.0
43,개봉,1호선,1호선,143,37.494594,126.85868,-8012341.0,-12923.0
44,오류동,1호선,1호선,144,37.494526,126.845365,-3199234.0,-5160.0
45,온수(성공회대입구),1호선,1호선,145,37.492258,126.823388,-5746214.0,-9268.0
46,역곡,1호선,1호선,146,37.485178,126.811502,-10650679.0,-17178.0
47,소사,1호선,1호선,147,37.482753,126.79544,-4531413.0,-7308.0
48,부천,1호선,1호선,148,37.48405,126.782686,-15347970.0,-24754.0
49,중동,1호선,1호선,149,37.486562,126.764843,-3026927.0,-4882.0
50,송내,1호선,1호선,150,37.4876,126.753664,-12044523.0,-19426.0
51,부개,1호선,1호선,151,37.488418,126.74109,-3258503.0,-5255.0
52,부평,1호선,1호선,152,37.489493,126.724805,-15766536.0,-25429.0
53,백운,1호선,1호선,153,37.483664,126.707704,-3609292.0,-5821.0
54,동암,1호선,1호선,154,37.471408,126.702896,-6633157.0,-10698.0
55,간석,1호선,1호선,155,37.464737,126.694181,-2242813.0,-3617.0
56,주안,1호선,1호선,156,37.464941,126.679923,-9467893.0,-15270.0
57,도화,1호선,1호선,157,37.46607,126.668672,-1165478.0,-1879.0
58,제물포,1호선,1호선,158,37.466769,126.656666,-3791907.0,-6115.0
59,도원,1호선,1호선,159,37.468446,126.642706,-1846130.0,-2977.0
60,동인천,1호선,1호선,160,37.475276,126.632802,-6946496.0,-11204.0
61,인천,1호선,1호선,161,37.476691,126.616936,-2423188.0,-3908.0
62,구로,1호선,1호선A,141,37.503039,126.881966,-6973408.0,-11247.0
63,가산디지털단지,1호선,1호선A,142,37.481072,126.882343,-9427714.0,-15205.0
64,독산,1호선,1호선A,143,37.466613,126.889249,-3909095.0,-6304.0
65,금천구청,1호선,1호선A,144,37.455626,126.89398,-3134734.0,-5056.0
66,석수,1호선,1호선A,145,37.435047,126.902295,-3898221.0,-6287.0
67,관악,1호선,1호선A,146,37.419232,126.908706,-3072589.0,-4955.0
68,안양,1호선,1호선A,147,37.401592,126.922874,-11009978.0,-17758.0
69,명학,1호선,1호선A,148,37.384653,126.935433,-3512756.0,-5665.0
70,금정,1호선,1호선A,149,37.372221,126.943429,-7459300.0,-12031.0
71,군포,1호선,1호선A,150,37.35356,126.948462,-1680485.0,-2710.0
72,당정,1호선,1호선A,151,37.344285,126.948345,-2804785.0,-4523.0
73,의왕,1호선,1호선A,152,37.320852,126.948217,-2397457.0,-3866.0
74,성균관대,1호선,1호선A,153,37.300349,126.97075,-5587995.0,-9012.0
75,화서,1호선,1호선A,154,37.283862,126.989627,-3194539.0,-5152.0
76,수원,1호선,1호선A,155,37.265974,126.999874,-24253153.0,-39117.0
77,세류,1호선,1호선A,156,37.245025,127.013222,-1750324.0,-2823.0
78,병점,1호선,1호선A,157,37.207503,127.032731,-6503322.0,-10489.0
79,세마,1호선,1호선A,158,37.187533,127.04318,-1115573.0,-1799.0
80,오산대,1호선,1호선A,159,37.168953,127.063197,-1134902.0,-1830.0
81,오산,1호선,1호선A,160,37.145885,127.06672,-3261498.0,-5260.0
82,진위,1호선,1호선A,161,37.109447,127.062278,-564210.0,-910.0
83,송탄,1호선,1호선A,162,37.075696,127.054301,-1967826.0,-3173.0
84,서정리,1호선,1호선A,163,37.056496,127.052819,-503195.0,-811.0
85,평택지제,1호선,1호선A,164,37.0188,127.070444,-377941.0,-609.0
86,평택,1호선,1호선A,165,36.990726,127.085159,-5429103.0,-8756.0
87,성환,1호선,1호선A,166,36.916076,127.126964,-2284655.0,-3684.0
88,직산,1호선,1호선A,167,36.870593,127.143904,-427311.0,-689.0
89,두정,1호선,1호선A,168,36.833705,127.14896,-2657766.0,-4286.0
90,천안,1호선,1호선A,169,36.810005,127.146826,-3629778.0,-5854.0
91,봉명,1호선,1호선A,170,36.801215,127.135763,-509471.0,-821.0
92,쌍용(나사렛대),1호선,1호선A,171,36.793759,127.1214,-1201971.0,-1938.0
